EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
4	21:29:23	0.1000	5.1189	5.1557	0.0000	0.0000	0.0000	0.0000
5	21:29:24	0.1000	5.0904	5.1551	0.0000	0.0000	0.0000	0.0000
6	21:29:26	0.1000	5.0662	5.1544	0.0000	0.0000	0.0000	0.0000
7	21:29:27	0.1000	5.0381	5.1531	0.0000	0.0000	0.0000	0.0000
8	21:29:28	0.1000	4.9957	5.1524	0.0100	0.0100	0.0100	0.0100
9	21:29:29	0.1000	4.9495	5.1517	0.0100	0.0100	0.0100	0.0100
10	21:29:30	0.1000	4.8953	5.1513	0.0100	0.0100	0.0100	0.0100
11	21:29:31	0.1000	4.8078	5.1503	0.0100	0.0100	0.0100	0.0100
12	21:29:32	0.1000	4.7329	5.1491	0.0100	0.0100	0.0100	0.0100
13	21:29:33	0.1000	4.6216	5.1483	0.0100	0.0100	0.0100	0.0100
14	21:29:34	0.1000	4.4803	5.1476	0.0100	0.0100	0.0100	0.0100
15	21:29:35	0.1000	4.3512	5.1465	0.0100	0.0100	0.0100	0.0100
16	21:29:36	0.1000	4.1886	5.1457	0.0100	0.0100	0.0100	0.0100
17	21:29:37	0.1000	4.0669	5.1447	0.0100	0.0100	0.0100	0.0100
18	21:29:38	0.1000	3.9269	5.1440	0.0100	0.0100	0.0100	0.0100
19	21:29:39	0.1000	3.7817	5.1434	0.0100	0.0100	0.0100	0.0100
20	21:29:40	0.1000	3.6779	5.1424	0.0100	0.0100	0.0100	0.0100
