EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
7	14:31:55	0.1000	4.9870	5.1292	0.0000	0.0000	0.0000	0.0000
8	14:31:56	0.1000	4.9511	5.1292	0.0000	0.0000	0.0000	0.0000
9	14:31:57	0.1000	4.9020	5.1285	0.0000	0.0000	0.0000	0.0000
10	14:31:58	0.1000	4.8516	5.1281	0.0000	0.0000	0.0000	0.0000
11	14:31:59	0.1000	4.7712	5.1277	0.0000	0.0000	0.0000	0.0000
12	14:32:00	0.1000	4.6861	5.1273	0.0000	0.0000	0.0000	0.0000
13	14:32:01	0.1000	4.5821	5.1266	0.0102	0.0100	0.0101	0.0100
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:35:36	0.1000	5.1638	5.1331	0.0000	0.0000	0.0000	0.0000
2	14:35:37	0.1000	5.1282	5.1319	0.0000	0.0000	0.0000	0.0000
3	14:35:38	0.1000	5.1085	5.1306	0.0102	0.0100	0.0101	0.0100
4	14:35:39	0.1000	5.0821	5.1287	0.0102	0.0100	0.0101	0.0100
5	14:35:40	0.1000	5.0621	5.1270	0.0000	0.0000	0.0000	0.0000
6	14:35:41	0.1000	5.0329	5.1255	0.0000	0.0000	0.0000	0.0000
7	14:35:42	0.1000	4.9979	5.1241	0.0204	0.0200	0.0202	0.0200
8	14:35:43	0.1000	4.9513	5.1230	0.0204	0.0200	0.0202	0.0200
9	14:35:44	0.1000	4.9147	5.1218	0.0204	0.0200	0.0202	0.0200
10	14:35:45	0.1000	4.8600	5.1210	0.0204	0.0200	0.0202	0.0200
11	14:35:46	0.1000	4.7934	5.1204	0.0204	0.0200	0.0202	0.0200
12	14:35:47	0.1000	4.7104	5.1193	0.0204	0.0200	0.0202	0.0200
13	14:35:48	0.1000	4.6184	5.1180	0.0204	0.0200	0.0202	0.0200
14	14:35:49	0.1000	4.4930	5.1175	0.0204	0.0200	0.0202	0.0200
15	14:35:50	0.1000	4.3482	5.1159	0.0204	0.0200	0.0202	0.0200
16	14:35:51	0.1000	4.2001	5.1147	0.0204	0.0200	0.0202	0.0200
17	14:35:52	0.1000	4.0372	5.1134	0.0204	0.0200	0.0202	0.0200
18	14:35:52	0.1000	3.8572	5.1122	0.0306	0.0300	0.0303	0.0300
19	14:35:54	0.1000	3.6893	5.1109	0.0306	0.0300	0.0303	0.0300
20	14:35:55	0.1000	3.5370	5.1095	0.0306	0.0300	0.0303	0.0300
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:36:51	0.1000	5.1596	5.1430	0.0000	0.0000	0.0000	0.0000
2	14:36:53	0.1000	5.1403	5.1422	0.0000	0.0000	0.0000	0.0000
3	14:36:54	0.1000	5.1102	5.1424	0.0000	0.0000	0.0000	0.0000
4	14:36:55	0.1000	5.0720	5.1425	0.0000	0.0000	0.0000	0.0000
5	14:36:57	0.1000	5.0570	5.1422	0.0102	0.0100	0.0101	0.0100
6	14:36:58	0.1000	5.0156	5.1414	0.0102	0.0100	0.0101	0.0100
7	14:37:00	0.1000	4.9855	5.1406	0.0102	0.0100	0.0101	0.0100
8	14:37:01	0.1000	4.9490	5.1397	0.0102	0.0100	0.0101	0.0100
9	14:37:03	0.1000	4.8997	5.1389	0.0102	0.0100	0.0101	0.0100
10	14:37:04	0.1000	4.8347	5.1389	0.0204	0.0200	0.0202	0.0200
11	14:37:06	0.1000	4.7588	5.1381	0.0204	0.0200	0.0202	0.0200
12	14:37:07	0.1000	4.6593	5.1374	0.0204	0.0200	0.0202	0.0200
13	14:37:08	0.1000	4.5547	5.1366	0.0204	0.0200	0.0202	0.0200
14	14:37:09	0.1000	4.3978	5.1366	0.0204	0.0200	0.0202	0.0200
15	14:37:10	0.1000	4.2727	5.1359	0.0306	0.0300	0.0303	0.0300
16	14:37:11	0.1000	4.1348	5.1354	0.0306	0.0300	0.0303	0.0300
17	14:37:13	0.1000	3.9784	5.1351	0.0306	0.0300	0.0303	0.0300
18	14:37:15	0.1000	3.8265	5.1348	0.0306	0.0300	0.0303	0.0300
19	14:37:16	0.1000	3.6485	5.1348	0.0204	0.0200	0.0202	0.0200
20	14:37:17	0.1000	3.5150	5.1342	0.0204	0.0200	0.0202	0.0200
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:38:01	0.1000	5.1476	5.1207	0.0204	0.0200	0.0202	0.0200
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:38:54	0.1000	5.1499	5.1332	0.0101	0.0100	0.0101	0.0100
2	14:38:55	0.1000	5.1252	5.1338	0.0101	0.0100	0.0101	0.0100
3	14:38:56	0.1000	5.1156	5.1341	0.0000	0.0000	0.0000	0.0000
4	14:38:57	0.1000	5.0832	5.1344	0.0000	0.0000	0.0000	0.0000
5	14:38:57	0.1000	5.0555	5.1340	0.0000	0.0000	0.0000	0.0000
6	14:38:58	0.1000	5.0222	5.1347	0.0000	0.0000	0.0000	0.0000
7	14:38:59	0.1000	4.9947	5.1358	0.0000	0.0000	0.0000	0.0000
8	14:38:59	0.0500	4.9586	5.1358	0.0000	0.0000	0.0000	0.0000
9	14:39:00	0.0500	4.9270	5.1358	0.0000	0.0000	0.0000	0.0000
10	14:39:01	0.0500	4.9055	5.1360	0.0000	0.0000	0.0000	0.0000
11	14:39:01	0.0500	4.8620	5.1360	0.0000	0.0000	0.0000	0.0000
12	14:39:02	0.0500	4.8335	5.1360	0.0000	0.0000	0.0000	0.0000
13	14:39:03	0.0500	4.8159	5.1357	0.0000	0.0000	0.0000	0.0000
14	14:39:04	0.0250	4.7755	5.1357	0.0000	0.0000	0.0000	0.0000
15	14:39:04	0.0250	4.7645	5.1354	0.0000	0.0000	0.0000	0.0000
16	14:39:05	0.0250	4.7276	5.1353	0.0000	0.0000	0.0000	0.0000
17	14:39:06	0.0250	4.7170	5.1352	0.0000	0.0000	0.0000	0.0000
18	14:39:06	0.0250	4.6953	5.1351	0.0000	0.0000	0.0000	0.0000
19	14:39:07	0.0250	4.6684	5.1349	0.0000	0.0000	0.0000	0.0000
20	14:39:08	0.0125	4.6363	5.1349	0.0000	0.0000	0.0000	0.0000
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:39:55	0.1000	5.1647	5.1485	0.0000	0.0000	0.0000	0.0000
2	14:39:56	0.1000	5.1423	5.1488	0.0000	0.0000	0.0000	0.0000
3	14:39:57	0.1000	5.1159	5.1477	0.0000	0.0000	0.0000	0.0000
4	14:39:58	0.1000	5.0989	5.1475	0.0000	0.0000	0.0000	0.0000
5	14:39:59	0.1000	5.0632	5.1466	0.0000	0.0000	0.0000	0.0000
6	14:40:00	0.1000	5.0309	5.1459	0.0000	0.0000	0.0000	0.0000
7	14:40:01	0.1000	5.0035	5.1457	0.0000	0.0000	0.0000	0.0000
8	14:40:02	0.1000	4.9643	5.1457	0.0000	0.0000	0.0000	0.0000
9	14:40:02	0.1000	4.9155	5.1460	0.0000	0.0000	0.0000	0.0000
10	14:40:03	0.1000	4.8531	5.1459	0.0000	0.0000	0.0000	0.0000
11	14:40:04	0.1000	4.7916	5.1462	0.0000	0.0000	0.0000	0.0000
12	14:40:05	0.1000	4.6930	5.1460	0.0000	0.0000	0.0000	0.0000
13	14:40:06	0.1000	4.5885	5.1453	0.0100	0.0100	0.0100	0.0100
14	14:40:07	0.1000	4.4731	5.1448	0.0100	0.0100	0.0100	0.0100
15	14:40:08	0.1000	4.3127	5.1441	0.0100	0.0100	0.0100	0.0100
16	14:40:08	0.1000	4.1595	5.1434	0.0100	0.0100	0.0100	0.0100
17	14:40:09	0.1000	3.9927	5.1430	0.0100	0.0100	0.0100	0.0100
18	14:40:11	0.1000	3.8397	5.1431	0.0100	0.0100	0.0100	0.0100
19	14:40:11	0.1000	3.6669	5.1425	0.0100	0.0100	0.0100	0.0100
20	14:40:12	0.1000	3.5193	5.1421	0.0100	0.0100	0.0100	0.0100
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:41:03	0.1000	5.1677	5.1434	0.0000	0.0000	0.0000	0.0000
2	14:41:05	0.1000	5.1358	5.1425	0.0000	0.0000	0.0000	0.0000
3	14:41:06	0.1000	5.1093	5.1407	0.0000	0.0000	0.0000	0.0000
4	14:41:08	0.1000	5.0844	5.1403	0.0000	0.0000	0.0000	0.0000
5	14:41:09	0.1000	5.0608	5.1387	0.0000	0.0000	0.0000	0.0000
